age,job,marital status ,education,credit default?,Credit Card
30,unemployed,married,primary,no,no
33,services,married,secondary,no,yes
35,management,single,tertiary,no,no
30,management,married,tertiary,no,yes
59,blue-collar,married,secondary,no,no
35,management,single,tertiary,no,no
36,self-employed,married,tertiary,no,no
39,technician,married,secondary,no,no
41,entrepreneur,married,tertiary,no,no
43,services,married,primary,no,yes
39,services,married,secondary,no,no
43,admin.,married,secondary,no,no
36,technician,married,tertiary,no,no
20,student,single,secondary,no,no
31,blue-collar,married,secondary,no,yes
40,management,married,tertiary,no,yes
56,technician,married,secondary,no,no
37,admin.,single,tertiary,no,no
25,blue-collar,single,primary,no,no
31,services,married,secondary,no,no
38,management,divorced,unknown,no,no
42,management,divorced,tertiary,no,no
44,services,single,secondary,no,no
44,entrepreneur,married,secondary,no,no
26,housemaid,married,tertiary,no,no
41,management,married,tertiary,no,no
55,blue-collar,married,primary,no,no
67,retired,married,unknown,no,no
56,self-employed,married,secondary,no,yes
53,admin.,married,secondary,no,yes
68,retired,divorced,secondary,no,no
31,technician,married,secondary,no,no
59,management,married,secondary,no,no
32,management,single,tertiary,no,no
49,technician,married,tertiary,no,no
42,admin.,divorced,secondary,no,no
78,retired,divorced,primary,no,no
32,blue-collar,married,secondary,no,no
33,management,married,secondary,no,no
23,services,single,tertiary,no,no
38,management,single,tertiary,no,no
36,management,single,tertiary,no,no
52,blue-collar,married,secondary,no,no
32,technician,married,tertiary,no,no
32,technician,single,tertiary,no,no
34,management,single,tertiary,no,no
55,blue-collar,married,primary,no,no
26,blue-collar,married,primary,no,no
32,entrepreneur,single,primary,yes,yes
61,admin.,married,unknown,no,no
45,blue-collar,divorced,primary,no,no
37,technician,single,secondary,no,no
38,technician,single,secondary,no,no
34,technician,married,tertiary,no,no
53,blue-collar,married,secondary,no,no
48,admin.,married,secondary,no,no
57,management,married,secondary,no,yes
33,self-employed,single,tertiary,no,no
36,retired,single,secondary,no,yes
54,technician,divorced,secondary,no,yes
41,blue-collar,married,primary,no,yes
63,retired,married,secondary,no,no
48,management,married,tertiary,no,no
48,services,married,secondary,no,no
56,admin.,married,secondary,no,no
51,blue-collar,divorced,secondary,no,no
31,services,married,secondary,no,no
29,technician,married,secondary,no,no
41,management,married,secondary,no,yes
32,technician,single,tertiary,no,no
37,management,married,tertiary,no,no
42,entrepreneur,divorced,tertiary,yes,no
31,management,single,tertiary,no,no
41,services,married,tertiary,no,no
56,retired,married,secondary,no,no
54,management,divorced,tertiary,no,no
41,blue-collar,divorced,secondary,no,no
40,technician,single,secondary,no,yes
50,blue-collar,divorced,primary,no,no
