age,job,marital status ,education,credit default?,Housing Loan?
30,unemployed,married,primary,no,yes
35,management,single,tertiary,no,yes
59,blue-collar,married,secondary,no,yes
35,management,single,tertiary,no,yes
36,self-employed,married,tertiary,no,yes
39,technician,married,secondary,no,yes
41,entrepreneur,married,tertiary,no,yes
39,services,married,secondary,no,yes
43,admin.,married,secondary,no,yes
36,technician,married,tertiary,no,yes
20,student,single,secondary,no,yes
56,technician,married,secondary,no,yes
37,admin.,single,tertiary,no,yes
25,blue-collar,single,primary,no,yes
31,services,married,secondary,no,yes
38,management,divorced,unknown,no,yes
42,management,divorced,tertiary,no,yes
44,services,single,secondary,no,yes
44,entrepreneur,married,secondary,no,yes
26,housemaid,married,tertiary,no,yes
41,management,married,tertiary,no,yes
55,blue-collar,married,primary,no,yes
67,retired,married,unknown,no,yes
68,retired,divorced,secondary,no,yes
31,technician,married,secondary,no,yes
59,management,married,secondary,no,yes
32,management,single,tertiary,no,yes
49,technician,married,tertiary,no,yes
42,admin.,divorced,secondary,no,yes
78,retired,divorced,primary,no,yes
32,blue-collar,married,secondary,no,yes
33,management,married,secondary,no,yes
23,services,single,tertiary,no,yes
38,management,single,tertiary,no,yes
36,management,single,tertiary,no,yes
52,blue-collar,married,secondary,no,yes
32,technician,married,tertiary,no,yes
32,technician,single,tertiary,no,yes
34,management,single,tertiary,no,yes
55,blue-collar,married,primary,no,yes
26,blue-collar,married,primary,no,yes
61,admin.,married,unknown,no,yes
45,blue-collar,divorced,primary,no,yes
37,technician,single,secondary,no,yes
38,technician,single,secondary,no,yes
34,technician,married,tertiary,no,yes
53,blue-collar,married,secondary,no,yes
48,admin.,married,secondary,no,yes
33,self-employed,single,tertiary,no,yes
63,retired,married,secondary,no,yes
48,management,married,tertiary,no,yes
48,services,married,secondary,no,yes
56,admin.,married,secondary,no,yes
51,blue-collar,divorced,secondary,no,yes
31,services,married,secondary,no,yes
29,technician,married,secondary,no,yes
32,technician,single,tertiary,no,yes
37,management,married,tertiary,no,yes
42,entrepreneur,divorced,tertiary,yes,yes
31,management,single,tertiary,no,yes
41,services,married,tertiary,no,yes
56,retired,married,secondary,no,yes
54,management,divorced,tertiary,no,yes
41,blue-collar,divorced,secondary,no,yes
50,blue-collar,divorced,primary,no,yes
40,,married,secondary,no,yes
27,admin.,divorced,secondary,no,yes
60,retired,married,primary,no,yes
52,services,married,secondary,no,yes
37,management,married,tertiary,no,yes
51,blue-collar,married,primary,no,yes
35,blue-collar,single,primary,no,yes
38,admin.,married,secondary,no,yes
34,blue-collar,married,secondary,no,yes
39,blue-collar,married,primary,no,yes
34,blue-collar,married,primary,no,yes
27,services,single,secondary,no,yes
32,management,single,tertiary,no,yes
57,blue-collar,married,secondary,no,yes
41,unknown,single,tertiary,no,yes
41,admin.,married,tertiary,no,yes
