age,job,marital status ,education,credit default?,housing loan?,Vehicle loan,y
30,unemployed,married,primary,no,no,no,no
33,services,married,secondary,no,yes,yes,no
35,management,single,tertiary,no,yes,no,no
30,management,married,tertiary,no,yes,yes,no
59,blue-collar,married,secondary,no,yes,no,no
35,management,single,tertiary,no,no,no,no
36,self-employed,married,tertiary,no,yes,no,no
39,technician,married,secondary,no,yes,no,no
41,entrepreneur,married,tertiary,no,yes,no,no
43,services,married,primary,no,yes,yes,no
39,services,married,secondary,no,yes,no,no
43,admin.,married,secondary,no,yes,no,no
36,technician,married,tertiary,no,no,no,no
20,student,single,secondary,no,no,no,yes
31,blue-collar,married,secondary,no,yes,yes,no
40,management,married,tertiary,no,no,yes,no
56,technician,married,secondary,no,no,no,no
37,admin.,single,tertiary,no,yes,no,no
25,blue-collar,single,primary,no,yes,no,no
31,services,married,secondary,no,no,no,no
38,management,divorced,unknown,no,yes,no,no
42,management,divorced,tertiary,no,no,no,no
44,services,single,secondary,no,no,no,no
44,entrepreneur,married,secondary,no,no,no,no
26,housemaid,married,tertiary,no,no,no,no
41,management,married,tertiary,no,no,no,no
55,blue-collar,married,primary,no,yes,no,no
67,retired,married,unknown,no,no,no,no
56,self-employed,married,secondary,no,no,yes,no
53,admin.,married,secondary,no,no,yes,no
68,retired,divorced,secondary,no,no,no,yes
31,technician,married,secondary,no,no,no,no
59,management,married,secondary,no,no,no,no
32,management,single,tertiary,no,yes,no,yes
49,technician,married,tertiary,no,no,no,yes
42,admin.,divorced,secondary,no,yes,no,no
78,retired,divorced,primary,no,no,no,yes
32,blue-collar,married,secondary,no,yes,no,yes
33,management,married,secondary,no,yes,no,yes
23,services,single,tertiary,no,yes,no,no
38,management,single,tertiary,no,yes,no,no
36,management,single,tertiary,no,no,no,no
52,blue-collar,married,secondary,no,yes,no,no
32,technician,married,tertiary,no,yes,no,no
32,technician,single,tertiary,no,yes,no,no
34,management,single,tertiary,no,yes,no,no
55,blue-collar,married,primary,no,no,no,no
26,blue-collar,married,primary,no,yes,no,no
32,entrepreneur,single,primary,yes,yes,yes,no
61,admin.,married,unknown,no,yes,no,yes
45,blue-collar,divorced,primary,no,no,no,yes
37,technician,single,secondary,no,yes,no,no
38,technician,single,secondary,no,no,no,no
34,technician,married,tertiary,no,yes,no,yes
53,blue-collar,married,secondary,no,yes,no,no
48,admin.,married,secondary,no,yes,no,no
57,management,married,secondary,no,no,yes,no
33,self-employed,single,tertiary,no,no,no,no
36,retired,single,secondary,no,yes,yes,no
54,technician,divorced,secondary,no,yes,yes,no
41,blue-collar,married,primary,no,no,yes,no
63,retired,married,secondary,no,yes,no,no
48,management,married,tertiary,no,no,no,no
48,services,married,secondary,no,no,no,no
56,admin.,married,secondary,no,no,no,no
51,blue-collar,divorced,secondary,no,yes,no,no
31,services,married,secondary,no,yes,no,no
29,technician,married,secondary,no,yes,no,no
41,management,married,secondary,no,no,yes,no
32,technician,single,tertiary,no,no,no,no
37,management,married,tertiary,no,no,no,yes
42,entrepreneur,divorced,tertiary,yes,yes,no,no
31,management,single,tertiary,no,yes,no,no
41,services,married,tertiary,no,yes,no,no
56,retired,married,secondary,no,yes,no,no
54,management,divorced,tertiary,no,no,no,no
41,blue-collar,divorced,secondary,no,yes,no,no
40,technician,single,secondary,no,no,yes,no
50,blue-collar,divorced,primary,no,no,no,no
40,,married,secondary,no,yes,no,no
27,admin.,divorced,secondary,no,yes,no,yes
60,retired,married,primary,no,no,no,no
28,admin.,single,secondary,no,yes,yes,no
52,services,married,secondary,no,no,no,yes
37,management,married,tertiary,no,no,no,yes
